"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Create course","Administration service","Wed Feb 04 20:09:25 UTC 2026","passed","Wed Feb 04 20:09:25 UTC 2026","TestCourses","courses","",""
"","16","Get exercises","LMS service","Wed Feb 04 20:09:28 UTC 2026","passed","Wed Feb 04 20:09:28 UTC 2026","TestExercises","exercises","",""
"","285","Create user with gmail.com","LMS service","Wed Feb 04 20:09:32 UTC 2026","passed","Wed Feb 04 20:09:33 UTC 2026","TestUser","users","",""
"","16","Get exercise","LMS service","Wed Feb 04 20:09:26 UTC 2026","passed","Wed Feb 04 20:09:26 UTC 2026","TestExercises","exercises","",""
"","281","Login with valid credentials","LMS service","Wed Feb 04 20:09:22 UTC 2026","passed","Wed Feb 04 20:09:23 UTC 2026","Login","authentication","",""
"","284","Create user with example.com","LMS service","Wed Feb 04 20:09:33 UTC 2026","passed","Wed Feb 04 20:09:33 UTC 2026","TestUser","users","",""
"","15","Upload file","LMS service","Wed Feb 04 20:09:29 UTC 2026","passed","Wed Feb 04 20:09:29 UTC 2026","Create entity","files","",""
"","283","Create user with mail.ru","LMS service","Wed Feb 04 20:09:32 UTC 2026","passed","Wed Feb 04 20:09:32 UTC 2026","TestUser","users","",""
"","24","Get courses","Administration service","Wed Feb 04 20:09:24 UTC 2026","passed","Wed Feb 04 20:09:24 UTC 2026","TestCourses","courses","",""
"","12","Get file","LMS service","Wed Feb 04 20:09:29 UTC 2026","passed","Wed Feb 04 20:09:29 UTC 2026","TestsFiles","files","",""
"","20","Create exercise","LMS service","Wed Feb 04 20:09:25 UTC 2026","passed","Wed Feb 04 20:09:25 UTC 2026","TestExercises","exercises","",""
"","17","Delete exercise","LMS service","Wed Feb 04 20:09:27 UTC 2026","passed","Wed Feb 04 20:09:27 UTC 2026","TestExercises","exercises","",""
"","17","Upload file with empty file name","LMS service","Wed Feb 04 20:09:30 UTC 2026","passed","Wed Feb 04 20:09:30 UTC 2026","TestsFiles","files","",""
"","15","Get user me","LMS service","Wed Feb 04 20:09:33 UTC 2026","passed","Wed Feb 04 20:09:33 UTC 2026","TestUser","users","",""
"","28","Update course","Administration service","Wed Feb 04 20:09:23 UTC 2026","passed","Wed Feb 04 20:09:23 UTC 2026","TestCourses","courses","",""
"","18","Delete file","LMS service","Wed Feb 04 20:09:31 UTC 2026","passed","Wed Feb 04 20:09:31 UTC 2026","TestsFiles","files","",""
"","16","Upload file with empty directory","LMS service","Wed Feb 04 20:09:31 UTC 2026","passed","Wed Feb 04 20:09:31 UTC 2026","TestsFiles","files","",""
"","19","Update exercise","LMS service","Wed Feb 04 20:09:27 UTC 2026","passed","Wed Feb 04 20:09:27 UTC 2026","TestExercises","exercises","",""
"","13","Get file with incorrect file id","LMS service","Wed Feb 04 20:09:32 UTC 2026","passed","Wed Feb 04 20:09:32 UTC 2026","TestsFiles","files","",""
